time,ax,ay,az,gx,gy,gz,mx,my,mz
1914,10.15,-6.49,-23.15,-9.40,1.05,-10.49,-7.81,57.14,-5.15
1925,10.15,-6.49,-23.15,-9.40,1.05,-10.49,-7.81,57.14,-5.15
1936,0.40,-7.98,-17.22,-0.36,-2.02,-5.11,-7.81,57.14,-5.15
1947,0.40,-7.98,-17.22,-0.36,-2.02,-5.11,-7.81,57.14,-5.15
1958,-5.00,-2.22,-7.82,3.41,-5.71,1.54,-7.81,57.14,-5.15
1969,-1.45,15.48,-9.98,7.84,-7.82,6.57,11.36,7.45,-5.83
1980,-1.45,15.48,-9.98,7.84,-7.82,6.57,11.36,7.45,-5.83
1991,-4.87,24.88,10.79,15.19,-5.28,8.44,11.36,7.45,-5.83
2002,-4.87,24.88,10.79,15.19,-5.28,8.44,11.36,7.45,-5.83
2013,-5.08,16.94,5.85,11.44,1.94,5.67,11.36,7.45,-5.83
2024,-5.08,16.94,5.85,11.44,1.94,5.67,11.36,7.45,-5.83
2035,3.48,-5.67,-15.61,9.44,7.82,3.09,11.36,7.45,-5.83
2046,3.48,-5.67,-15.61,9.44,7.82,3.09,11.36,7.45,-5.83
2057,-0.85,7.57,-34.77,4.71,5.19,4.16,11.36,7.45,-5.83
2068,-1.76,12.35,-2.07,3.29,-0.81,2.66,11.36,7.45,-5.83
2079,-1.76,12.35,-2.07,3.29,-0.81,2.66,11.36,7.45,-5.83
2090,-0.94,16.30,-3.46,-1.10,0.84,-1.52,0.71,48.98,-1.72
2101,-0.94,16.30,-3.46,-1.10,0.84,-1.52,0.71,48.98,-1.72
2112,4.37,5.90,-10.01,-5.27,3.04,-6.33,0.71,48.98,-1.72
2123,4.37,5.90,-10.01,-5.27,3.04,-6.33,0.71,48.98,-1.72
2134,6.08,-1.13,-13.70,-5.64,3.86,-7.69,0.71,48.98,-1.72
2145,6.08,-1.13,-13.70,-5.64,3.86,-7.69,0.71,48.98,-1.72
2156,4.90,-1.05,-19.89,-5.88,3.33,-6.38,0.71,48.98,-1.72
2167,4.90,-1.05,-19.89,-5.88,3.33,-6.38,0.71,48.98,-1.72
2178,3.29,-1.36,-24.43,-5.33,0.60,-4.61,0.71,48.98,-1.72
2189,2.37,-0.02,-16.89,-1.23,-2.60,-1.93,0.71,48.98,-1.72
2200,2.37,-0.02,-16.89,-1.23,-2.60,-1.93,0.71,48.98,-1.72
2211,1.33,2.10,-12.52,1.31,-4.13,0.58,0.71,48.98,-1.72
2222,1.33,2.10,-12.52,1.31,-4.13,0.58,0.71,48.98,-1.72
2233,0.46,2.65,-6.50,2.58,-3.88,2.14,-3.19,22.36,-2.06
2244,0.46,2.65,-6.50,2.58,-3.88,2.14,-3.19,22.36,-2.06
2255,-1.05,3.46,-7.93,2.97,-2.82,3.19,-3.19,22.36,-2.06
2266,-1.05,3.46,-7.93,2.97,-2.82,3.19,-3.19,22.36,-2.06
2277,-0.96,5.62,-6.93,3.28,-1.94,3.74,-3.19,22.36,-2.06
2288,-0.96,5.62,-6.93,3.28,-1.94,3.74,-3.19,22.36,-2.06
2299,-1.53,7.93,-13.55,2.32,-0.48,3.42,-3.19,22.36,-2.06
2310,-1.09,6.71,-15.22,2.50,-0.57,2.49,-3.19,22.36,-2.06
2321,-1.09,6.71,-15.22,2.50,-0.57,2.49,-3.19,22.36,-2.06
2332,-0.69,5.73,-9.27,1.84,-1.91,1.61,-3.19,22.36,-2.06
2343,-0.69,5.73,-9.27,1.84,-1.91,1.61,-3.19,22.36,-2.06
2354,-1.92,10.63,-8.07,1.14,-1.75,0.80,4.44,37.80,1.89
2365,-1.92,10.63,-8.07,1.14,-1.75,0.80,4.44,37.80,1.89
2376,-1.92,11.67,-8.14,2.02,-0.55,-1.10,4.44,37.80,1.89
2387,-1.92,11.67,-8.14,2.02,-0.55,-1.10,4.44,37.80,1.89
2398,0.47,7.23,-10.32,2.88,0.90,-3.11,4.44,37.80,1.89
2409,2.90,2.65,-13.49,2.67,1.26,-4.29,4.44,37.80,1.89
2420,2.90,2.65,-13.49,2.67,1.26,-4.29,4.44,37.80,1.89
2431,4.37,0.45,-14.49,0.99,0.05,-4.96,4.44,37.80,1.89
2442,4.37,0.45,-14.49,0.99,0.05,-4.96,4.44,37.80,1.89
