time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
5.43,-0.09,-0.88,9.39,0.03,0.25,0.02,11.71,8.29,-112.44,9.75768927564308,111.88844533730907,24.125537628353115,0.2958145035979627,-4.733032057567406,-0.5916290071959256,-2.02542020979021,-2.400249440559441,27.11574545454545,-4.0359460574116115,-3.3806102859484577,37.644688491762444
5.481,0.07,-0.33,9.56,-0.03,-0.36,-0.03,11.71,8.29,-112.44,9.431574629933223,113.35167312395525,14.472147219080838,0.3845588546773515,-3.9934957985724986,-0.5324661064763331,-2.0300668531468533,-2.445683286713287,27.600545244755242,-4.1405172281030875,-3.5045336539180405,39.04465736372684
5.532,0.77,-1.69,9.59,0.01,-0.74,-0.06,11.71,8.29,-112.44,9.565950031230562,113.35167312395525,20.76922613848535,0.2958145035979627,-5.058428011525165,-0.6212104575557219,-2.0264527972027975,-2.4627209790209794,28.094122027972027,-4.245328302066606,-3.630802742769818,40.46965614374102
5.585,0.87,-0.85,9.56,-0.0,-0.52,-0.05,10.5,7.08,-112.28,9.768167688978316,113.35167312395525,42.541875143927,0.32539595395775894,-7.24745533815009,-0.7986991597144996,-1.9866981818181821,-2.549974615384616,28.58924769230769,-4.349952784596314,-3.7579514769524187,41.92013798242996
5.6370000000000005,1.13,-0.51,9.63,-0.03,-0.07,0.0,10.5,7.08,-112.28,9.637063868212143,112.99192360518516,29.93121870085154,0.32539595395775894,-8.785690756859497,-0.9466064115134809,-1.9417806293706297,-2.593859580419581,29.082824475524475,-4.452524761354102,-3.889605061465598,43.39618284755099
5.688,0.99,-0.76,9.63,-0.01,-0.13,-0.0,10.5,7.08,-112.28,9.709474754073982,112.99192360518516,4.3635165669524065,0.23665160287837012,-8.99276090937807,-0.9466064115134809,-1.8834394405594408,-2.62019055944056,29.580015314685316,-4.55277767314881,-4.023524399103624,44.89771077134677
5.7410000000000005,1.2,-0.83,9.56,0.02,-0.18,-0.01,7.92,9.33,-111.45,9.710540664659204,112.99192360518516,7.470455672192939,0.20707015251857383,-9.377319764055422,-0.9466064115134809,-1.8323263636363638,-2.659428881118882,30.077206153846156,-4.650018466083428,-4.158803188616559,46.42490834525112
5.793,1.35,-1.13,9.51,0.0,-0.15,-0.01,7.92,9.33,-111.45,9.67070318022428,112.11992597214824,10.392513118364892,0.2662330532381664,-9.909785870531755,-0.9761878618732772,-1.770371118881119,-2.7022812587412597,30.57078293706294,-4.744620323025577,-4.296107827982298,47.977775569264026
5.845,1.33,-1.16,9.59,0.02,0.01,0.0,8.78,7.78,-110.62,9.671582083609692,112.11992597214824,8.613444346500732,0.2662330532381664,-10.3535076259287,-1.0057693122330735,-1.7006714685314688,-2.7606224475524486,31.061778251748255,-4.836023469673824,-4.435624908634653,49.55612585195169
5.898,1.18,-1.01,9.51,0.03,0.05,0.0,8.78,7.78,-110.62,9.751030714750108,111.24028586802535,1.2811725781509187,0.32539595395775894,-10.323926175568904,-1.0057693122330735,-1.6320044055944058,-2.8205125174825185,31.556903916083918,-4.923828067241431,-4.578154108147098,51.15982591371853
5.949,1.33,-1.23,9.65,0.08,0.07,-0.01,8.78,7.78,-110.62,9.636005396428542,111.24028586802535,3.3408893411844587,0.41414030503714777,-10.176018923769922,-1.0057693122330735,-1.5710817482517485,-2.8726581818181827,32.04789923076923,-5.008087427566631,-4.7237753942769825,52.78908900191746
6.002,1.16,-0.33,9.57,0.05,0.02,0.0,6.54,9.33,-111.45,9.818569142191748,111.24028586802535,6.117515213723125,0.650791907915518,-9.968948771251348,-1.0353507625928697,-1.5024146853146856,-2.9361623076923085,32.54612265734266,-5.08920138943616,-4.8720889282375675,54.443701869195564
6.055,0.99,-7.23,10.86,0.27,-0.17,-0.01,6.54,9.33,-111.45,9.645693339516864,112.03090198690717,3.08547215431189,0.7986991597144995,-9.909785870531756,-1.0353507625928697,-1.4425246153846156,-2.9532000000000007,33.040215734265736,-5.166770114063281,-5.023681140249402,56.124037698420466
6.106,0.4,-14.96,14.56,1.74,-0.59,0.53,6.89,7.26,-111.78,13.084059003229846,112.03090198690717,18.289832341117748,1.597398319428999,-10.412670526648293,-1.064932212952666,-1.3914115384615386,-3.3264803496503506,33.6009106993007,-5.241246752072964,-5.17615299759206,57.829883242239234
6.158,9.44,14.7,15.2,7.49,0.26,-0.39,6.89,7.26,-111.78,20.87954022482296,112.22721639602402,109.56235530259899,6.744570682033551,-12.157976097876274,0.502884656116537,-1.3707597902097903,-4.098855734265735,34.352634335664334,-5.313084454090178,-5.347897084455476,59.564677114217815
6.211,0.85,3.18,9.48,3.54,1.13,-0.19,10.5,-12.27,-103.3,23.156934166681044,112.22721639602402,429.9848800497425,28.901077001520967,-11.388858388521571,-0.650791907915518,-0.8833785314685316,-3.3399039860139865,35.137400769230766,-5.383855919342757,-5.5595184263162025,61.338282004429075
6.263,-1.36,16.31,8.89,1.93,-1.86,-0.36,10.5,-12.27,-103.3,10.035203037308214,104.55473638243272,213.18804092484314,39.37291042888885,-8.046154497864592,-1.2128394647516474,-0.8394935664335665,-3.175722587412588,35.6268472027972,-5.429464196949975,-5.731955567076631,63.15240389169642
6.314,-0.19,1.99,0.76,-2.72,-5.39,-0.5,6.03,-17.11,-104.29,18.62519261645366,104.55473638243272,154.9541026388811,45.082130348329535,-13.548304264786701,-2.2777716777043135,-0.9097095104895107,-2.3336475524475526,36.08583230769231,-5.472806721432345,-5.8959161255582195,64.99179559028559
6.367,-1.78,-2.46,2.18,-4.36,-8.3,0.56,6.03,-17.11,-104.29,2.138644430474594,105.85611508080203,347.10320431912754,37.03597585046495,-29.492706008716894,-3.7568441956941276,-0.9195190909090911,-2.230905104895105,36.125070629370626,-5.519774450914472,-6.016400879961858,66.85488440096876
6.4190000000000005,-0.83,4.48,-1.4,-4.75,3.54,1.76,6.03,-17.11,-104.29,3.7379673620833023,105.85611508080203,538.1327467408539,24.13846349359377,-54.045309807347806,-2.100282975545536,-1.0114193706293708,-2.3579133566433566,36.237622657342655,-5.567248642859799,-6.131581106461442,68.71999906150472
6.471,4.64,1.52,-18.31,-2.38,5.52,0.2,1.55,1.56,-114.61,4.766476686190756,105.85611508080203,354.0846724693735,10.087274572690536,-43.57347637997992,3.10605228777861,-1.0542717482517485,-2.1266137762237762,36.16534153846153,-5.619467588407748,-6.2533186890635255,70.59092471240794
6.524,1.34,0.71,-5.79,-0.74,1.59,-0.2,1.55,1.56,-114.61,18.949831133812246,114.63109613015135,344.608274930253,3.0468893870590206,-27.244515781372375,3.6976812949745357,-0.8147114685314688,-2.048137132867133,35.220007762237756,-5.673898975242311,-6.3631144199017085,72.45811853463495
6.5760000000000005,-18.75,2.0,36.48,6.79,4.5,0.41,9.82,9.85,-109.62,5.985298655873406,114.63109613015135,101.13476031875287,0.8578620604340959,-22.541065174164764,3.10605228777861,-0.7455281118881122,-2.01148027972028,34.9210737062937,-5.715962015607121,-6.468858451034282,74.27650536896083
6.6290000000000004,0.85,2.55,8.31,-0.05,-4.22,-0.07,9.82,9.85,-109.62,41.06522738278701,110.49886560503687,467.3109249490657,20.943666854735774,-9.229412512256436,4.3188917525302575,-1.7135788111888115,-1.9082215384615386,36.80451314685314,-5.754453162810408,-6.57270991190963,76.07945842611863
6.682,-0.68,-2.45,9.44,0.08,1.91,-0.07,9.82,9.85,-109.62,8.73390519756197,110.49886560503687,241.8384199637006,20.795759602936794,-21.712784564090466,4.111821600011684,-1.6696938461538464,-1.7765666433566436,37.23355321678321,-5.8429241583559115,-6.671230188961808,77.97965227621106
6.7330000000000005,0.69,-0.15,9.8,-0.0,0.0,-0.08,11.19,9.5,-109.95,9.776425727227716,110.49886560503687,109.60429534116341,21.032411205815166,-16.062727545369377,3.9047514474931098,-1.7048018181818185,-1.9030586013986017,37.720934475524466,-5.929129400776568,-6.7629532066394455,79.90199719508875
6.784,0.42,-0.39,9.64,0.01,0.36,-0.07,11.19,9.5,-109.95,9.825405844035147,110.92550923930888,4.583662361046586,21.032411205815166,-16.062727545369377,3.6680998446147397,-1.6691775524475527,-1.9108030069930073,38.2269023076923,-6.017147245697102,-6.861206924500466,81.84950530161181
6.838,0.18,-1.03,9.7,0.01,0.31,-0.08,12.05,9.33,-111.11,9.657023350908913,110.92550923930888,21.02060262484358,21.06199265617496,-14.997795332416711,3.4610296920961656,-1.647493216783217,-1.930938461538462,38.72460944055943,-6.103325832198642,-6.959860481148223,83.8231362088684
6.889,-0.06,-1.07,9.55,0.02,0.36,-0.08,12.05,9.33,-111.11,9.756192905021917,112.15027195687044,18.35254564116937,21.091574106534758,-14.080770371263027,3.2243780892177956,-1.6381999300699304,-1.9841167132867137,39.225414335664325,-6.188384870097317,-7.059553618641499,85.82246342215268
6.941,-0.21,-1.48,9.55,0.02,0.34,-0.07,12.05,9.33,-111.11,9.60994276777963,112.15027195687044,21.160689642391194,21.15073700725435,-13.01583815831036,2.9877264863394255,-1.6412976923076925,-2.03936013986014,39.718474825174816,-6.272964101451906,-7.161992315803707,87.84764687697933
