time,ax,ay,az,gx,gy,gz,mx,my,mz
2965.00,-0.66,6.33,-7.94,-0.05,0.18,-0.02,-52.00,1.00,36.00
2977.00,-0.64,6.33,-7.89,-0.05,0.18,-0.02,-52.00,1.00,36.00
3181.00,-0.68,6.36,-7.87,-0.05,0.18,-0.02,-52.00,4.00,34.00
3193.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3205.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3216.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,3.00,38.00
3229.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3241.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3252.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,38.00
3264.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,38.00
3277.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-54.00,3.00,38.00
3289.00,-0.67,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,38.00
3300.00,-0.67,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,38.00
3312.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3325.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,38.00
3337.00,-0.66,6.34,-7.91,-0.05,0.18,-0.02,-52.00,1.00,36.00
3348.00,-0.66,6.34,-7.91,-0.05,0.18,-0.02,-52.00,1.00,36.00
3359.00,-0.64,6.37,-7.87,-0.05,0.18,-0.02,-52.00,1.00,36.00
3371.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.00,1.00,36.00
3384.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.00,1.00,36.00
3396.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-52.00,1.00,36.00
3408.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-52.00,1.00,36.00
3419.00,-0.66,6.33,-7.88,-0.05,0.18,-0.02,-52.00,1.00,36.00
3433.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-52.00,1.00,36.00
3444.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-52.00,1.00,36.00
3456.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-54.00,1.00,36.00
3467.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-54.00,1.00,36.00
3480.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-54.00,1.00,36.00
3491.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-54.00,1.00,36.00
3503.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-54.00,1.00,36.00
3515.00,-0.66,6.33,-7.90,-0.05,0.18,-0.02,-54.00,1.00,36.00
3654.00,-0.66,6.34,-7.87,-0.05,0.18,-0.02,-52.00,3.00,34.00
3743.00,-0.63,6.37,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
3754.00,-0.61,6.37,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
3766.00,-0.61,6.37,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
3779.00,-0.64,6.34,-7.91,-0.05,0.18,-0.01,-52.00,3.00,36.00
3791.00,-0.71,6.32,-7.90,-0.05,0.18,-0.02,-52.00,3.00,36.00
3803.00,-0.71,6.32,-7.90,-0.05,0.18,-0.02,-52.00,3.00,36.00
3815.00,-0.72,6.35,-7.86,-0.05,0.18,-0.02,-52.00,3.00,36.00
3828.00,-0.72,6.35,-7.86,-0.05,0.18,-0.02,-52.00,3.00,36.00
3840.00,-0.67,6.35,-7.86,-0.05,0.18,-0.02,-52.00,3.00,36.00
3851.00,-0.62,6.33,-7.85,-0.05,0.18,-0.02,-52.00,3.00,36.00
3863.00,-0.62,6.33,-7.85,-0.05,0.18,-0.02,-52.00,3.00,36.00
3875.00,-0.61,6.33,-7.91,-0.05,0.18,-0.02,-52.00,3.00,36.00
3888.00,-0.61,6.33,-7.91,-0.05,0.18,-0.02,-52.00,3.00,36.00
3901.00,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
3912.00,-0.67,6.35,-7.85,-0.05,0.18,-0.02,-52.00,3.00,36.00
3924.00,-0.67,6.35,-7.85,-0.05,0.18,-0.02,-52.00,3.00,36.00
3938.00,-0.66,6.36,-7.83,-0.05,0.18,-0.02,-52.00,3.00,36.00
3950.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-52.00,1.00,34.00
3961.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-52.00,1.00,34.00
3973.00,-0.63,6.33,-7.90,-0.05,0.18,-0.02,-52.00,1.00,34.00
3987.00,-0.63,6.33,-7.90,-0.05,0.18,-0.02,-52.00,1.00,34.00
3998.00,-0.63,6.33,-7.90,-0.05,0.18,-0.02,-52.00,1.00,34.00
4009.00,-0.62,6.37,-7.87,-0.05,0.18,-0.02,-52.00,1.00,34.00
4021.00,-0.62,6.37,-7.87,-0.05,0.18,-0.02,-52.00,1.00,34.00
4026.00,-0.62,6.37,-7.87,-0.05,0.18,-0.02,-52.00,1.00,34.00
4104.00,-0.61,6.34,-7.91,-0.05,0.18,-0.02,-54.00,3.00,34.00
4184.00,-0.68,6.32,-7.88,-0.05,0.18,-0.02,-54.00,3.00,34.00
4262.00,-0.69,6.32,-7.86,-0.05,0.18,-0.01,-54.00,3.00,34.00
4354.00,-0.13,6.24,-8.00,-0.06,0.17,-0.02,-54.00,1.00,36.00
4366.00,-0.13,6.24,-8.00,-0.06,0.17,-0.02,-54.00,1.00,36.00
4377.00,0.01,6.14,-8.14,-0.02,0.20,-0.00,-54.00,1.00,36.00
4389.00,-0.17,6.21,-8.06,-0.06,0.16,-0.00,-54.00,1.00,36.00
4401.00,-0.17,6.21,-8.06,-0.06,0.16,-0.00,-54.00,1.00,36.00
4599.00,-1.10,6.33,-7.83,0.03,0.25,-0.11,-54.00,1.00,36.00
4610.00,-1.43,6.32,-7.86,0.00,0.26,-0.12,-54.00,1.00,36.00
4622.00,-1.43,6.32,-7.86,0.00,0.26,-0.12,-54.00,1.00,36.00
4633.00,-1.76,6.31,-7.72,-0.02,0.26,-0.14,-54.00,1.00,36.00
4646.00,-1.76,6.31,-7.72,-0.02,0.26,-0.14,-54.00,1.00,36.00
4657.00,-1.34,5.58,-8.33,0.02,0.29,-0.12,-54.00,1.00,36.00
4669.00,-1.34,5.58,-8.33,0.02,0.29,-0.12,-54.00,1.00,36.00
